dateObserved,temperature,relativeHumidity
2025-03-31T07:27Z,25.592813,37.186848
2025-03-31T07:37Z,25.560768,35.7792
2025-03-31T07:47Z,25.536736,36.097733
2025-03-31T07:57Z,25.467308,36.14542
2025-03-31T08:07Z,25.451286,36.13207
2025-03-31T08:17Z,25.424582,36.044327
2025-03-31T08:27Z,25.4139,35.880295
2025-03-31T08:37Z,25.400549,35.796368
2025-03-31T08:47Z,25.32044,35.796368
2025-03-31T08:57Z,25.352484,35.71435
2025-03-31T09:07Z,25.368505,35.683834
2025-03-31T09:17Z,25.341803,35.012436
2025-03-31T09:27Z,25.371176,34.606163
2025-03-31T09:37Z,25.333792,34.896088
2025-03-31T09:47Z,25.312428,35.100174
2025-03-31T09:57Z,25.312428,35.22034
2025-03-31T10:07Z,25.344473,35.290913
2025-03-31T10:37Z,25.443275,35.340504
2025-03-31T10:47Z,25.496681,35.330967
2025-03-31T10:57Z,25.523384,35.32143
2025-03-31T11:07Z,25.56344,35.30045
2025-03-31T11:17Z,25.600824,35.172657
2025-03-31T11:27Z,25.632868,35.14786
2025-03-31T11:37Z,25.664911,35.13451
2025-03-31T11:47Z,25.680933,35.105896
2025-03-31T11:57Z,25.710308,35.098267
2025-03-31T12:07Z,25.72099,34.88655
2025-03-31T12:17Z,25.72633,34.989548
2025-03-31T12:27Z,25.6569,35.0811
2025-03-31T12:37Z,25.662241,35.04677
2025-03-31T12:47Z,25.712978,35.02388
2025-03-31T12:57Z,25.771725,34.92279
2025-03-31T13:07Z,25.803768,34.857937
2025-03-31T13:17Z,25.814451,34.831234
2025-03-31T13:27Z,25.825132,34.823605
2025-03-31T13:37Z,25.854506,34.84077
2025-03-31T13:57Z,25.865187,34.77592
2025-03-31T14:07Z,25.875868,34.81216
2025-03-31T14:17Z,25.918592,34.7702
2025-03-31T14:27Z,25.862516,34.59281
2025-03-31T14:37Z,25.819792,34.556572
2025-03-31T14:47Z,25.777065,34.59472
2025-03-31T15:07Z,25.670252,34.67674
2025-03-31T15:17Z,25.624857,34.688183
2025-03-31T15:27Z,25.598154,34.735867
2025-03-31T15:37Z,25.523384,34.810253
2025-03-31T15:47Z,25.496681,34.865566
2025-03-31T15:57Z,25.448616,34.890366
2025-03-31T16:07Z,25.40856,34.875107
2025-03-31T16:17Z,25.355154,34.911346
2025-03-31T16:27Z,25.296406,34.960938
2025-03-31T16:37Z,25.296406,35.01053
2025-03-31T16:47Z,25.253681,35.035324
2025-03-31T16:57Z,25.202946,35.035324
2025-03-31T17:07Z,25.181581,35.04677
2025-03-31T17:17Z,25.192265,35.09445
2025-03-31T17:27Z,25.16022,35.090637
2025-03-31T17:37Z,25.192265,35.079193
2025-03-31T17:47Z,25.16289,35.14977
2025-03-31T17:57Z,25.152208,35.151676
2025-03-31T18:07Z,25.114824,35.17647
2025-03-31T18:17Z,25.125505,35.208897
2025-03-31T18:27Z,25.109484,35.22797
2025-03-31T18:37Z,25.085451,35.262302
2025-03-31T18:47Z,25.07477,35.317616
2025-03-31T19:07Z,25.048065,35.401543
2025-03-31T19:17Z,24.973297,35.56939
2025-03-31T19:27Z,24.949265,35.645687
2025-03-31T20:07Z,24.954605,35.826885
2025-04-01T08:04Z,8.75639,53.628445
2025-04-01T08:14Z,9.122225,52.43824
2025-04-01T08:24Z,10.206378,50.570915
2025-04-01T08:34Z,9.381247,51.17365
2025-04-01T08:54Z,9.498741,49.910965
2025-04-01T09:04Z,10.38796,48.629208
2025-04-01T09:34Z,9.661632,48.697872
2025-04-01T09:44Z,10.246433,47.595406
2025-04-01T09:54Z,9.789807,48.278248
